file,companyName,score
(유)앤서스랩코리아.json,(유)앤서스랩코리아,50.4
(의) 케이씨엘의료재.json,(의) 케이씨엘의료재,46.54
(재)KATRI시험연구원.json,(재)KATRI시험연구원,51.96
(재)네이버 커넥트.json,(재)네이버 커넥트,79.0
(재)서울문화재단.json,(재)서울문화재단,58.57
(재)전자통관국제협력재단.json,(재)전자통관국제협력재단,49.58
(재)천주교서울대교구.json,(재)천주교서울대교구,36.83
)대한감정평가법인.json,)대한감정평가법인,41.96
)종로아카데미.json,)종로아카데미,48.81
)파이온텍.json,)파이온텍,27.19
111퍼센트.json,111퍼센트,45.78
28청춘주야간보호센터.json,28청춘주야간보호센터,13.7
AJ 네트웍스.json,AJ 네트웍스,67.63
CJ ENM.json,CJ ENM,73.28
CJ제일제당.json,CJ제일제당,77.61
D&O.json,D&O,65.6
DB손해보험.json,DB손해보험,71.05
DB하이텍.json,DB하이텍,86.9
DSR.json,DSR,57.63
ES큐브.json,ES큐브,44.62
GC케어.json,GC케어,65.44
GfK리테일앤테크놀로지코리아리미티드.json,GfK리테일앤테크놀로지코리아리미티드,49.03
GS리테일.json,GS리테일,87.17
HC컴퍼니.json,HC컴퍼니,43.84
HDC아이서비스.json,HDC아이서비스,20.59
KB라이프생명보험.json,KB라이프생명보험,59.35
KB손해보험 대구TC.json,KB손해보험 대구TC,62.73
KB캐피탈.json,KB캐피탈,70.32
KCC.json,KCC,76.36
LF.json,LF,77.08
LG CNS.json,LG CNS,80.83
LG.json,LG,79.95
LG유플러스.json,LG유플러스,73.21
LG화학.json,LG화학,85.98
LX하우시스.json,LX하우시스,72.01
M캐피탈.json,M캐피탈,58.99
NAVER I&S.json,NAVER I&S,69.25
NHN벅스.json,NHN벅스,77.99
NHN여행박사.json,NHN여행박사,74.82
NH농협은행.json,NH농협은행,71.46
PUMA KOREA Ltd..json,PUMA KOREA Ltd.,52.91
SFA반도체.json,SFA반도체,63.15
SGA.json,SGA,44.04
SK C&C.json,SK C&C,74.07
SK가스.json,SK가스,69.55
SK네트웍스.json,SK네트웍스,68.02
SK네트웍스서비스.json,SK네트웍스서비스,58.72
SK에코플랜트.json,SK에코플랜트,75.19
SK텔레콤.json,SK텔레콤,84.01
SK플래닛.json,SK플래닛,57.99
SUN&L.json,SUN&L,66.16
㈔한국녹색기후기술원.json,㈔한국녹색기후기술원,48.76
가람감정평가법인.json,가람감정평가법인,42.59
가레트모션코리아(유).json,가레트모션코리아(유),47.74
가리온정보기술.json,가리온정보기술,29.22
가비아씨엔에스.json,가비아씨엔에스,51.58
가시.json,가시,23.37
가야데이터.json,가야데이터,26.22
가연결혼정보.json,가연결혼정보,55.82
가연아이앤씨.json,가연아이앤씨,35.76
가온그룹.json,가온그룹,57.88
가온브로드밴드.json,가온브로드밴드,45.77
가온소프트.json,가온소프트,34.84
가온아이.json,가온아이,47.84
가온정보시스템.json,가온정보시스템,30.05
가을디에스.json,가을디에스,30.03
가이스트코리아.json,가이스트코리아,40.24
가톨릭대학교산학협력단.json,가톨릭대학교산학협력단,49.55
갈라랩.json,갈라랩,41.97
갈렙스랩.json,갈렙스랩,24.13
갑진.json,갑진,52.65
강림중공업.json,강림중공업,52.21
강원대학교병원.json,강원대학교병원,50.52
강원랜드.json,강원랜드,63.65
갤럭시아커뮤니케이션즈.json,갤럭시아커뮤니케이션즈,59.71
건강누리.json,건강누리,21.21
건솔루션.json,건솔루션,40.71
건우통신.json,건우통신,30.1
건일제약.json,건일제약,55.64
겟앤쇼(Get & Show).json,겟앤쇼(Get & Show),50.01
경기일보.json,경기일보,44.38
경남제약.json,경남제약,67.31
경동나비엔.json,경동나비엔,64.28
경동사.json,경동사,41.14
경동엔지니어링.json,경동엔지니어링,78.94
경동원.json,경동원,47.69
경림이앤지.json,경림이앤지,36.16
경보전기.json,경보전기,43.61
경복궁면세점.json,경복궁면세점,70.87
경성문화사.json,경성문화사,65.58
경성시험기.json,경성시험기,34.88
경우시스테크.json,경우시스테크,46.68
경유산업.json,경유산업,36.68
경인양행.json,경인양행,67.44
