companyName,score
에스케이하이닉스,82.76
삼성전자,82.66
현대자동차,81.79
대림산업,80.69
LG화학,79.14
현대모비스,78.7
카카오,76.55
SK텔레콤,75.87
비바리퍼블리카,75.49
LG CNS,74.34
케이티,73.91
제일기획,73.83
하이트진로,73.33
엔씨소프트,72.85
네이버,72.79
콜마그룹,72.74
CJ제일제당,72.64
넥슨코리아,72.16
한국투자증권,72.05
하이브,71.77
우리은행,71.71
한국수력원자력,71.71
엘지전자,71.45
삼성이앤에이,71.39
KCC,71.1
펄어비스,71.06
삼성에스디에스,71.04
케이티앤지,71
대한무역투자진흥공사,70.93
엘지이노텍,70.78
에스엠엔터테인먼트,70.75
국민건강보험공단,70.72
한국전력공사,70.47
LG,70.34
신세계,70.31
현대엔지니어링,70.27
대한항공,70.22
크래프톤,70.19
우아한형제들,70.14
코스맥스비티아이,70.11
현대제철,70.03
현대로템,69.7
컴투스,69.65
케이비증권,69.62
삼성바이오로직스,69.59
한섬,69.58
현대백화점,69.53
삼성화재해상보험,69.38
현대위아,69.34
SK에코플랜트,69.18
한국항공우주산업,69.12
롯데케미칼,68.83
세메스,68.79
GS리테일,68.74
한화,68.48
삼성전기,68.37
녹십자,68.35
프로에스콤,68.19
CJ ENM,68.11
대웅제약,68.03
금호석유화학,67.92
효성,67.89
만도,67.74
삼성디스플레이,67.63
SK C&C,67.61
현대오토에버,67.58
한국남부발전,67.42
LG유플러스,67.41
비씨카드,67.4
미래에셋자산운용,67.29
현대엘리베이터,67.25
하나금융지주,67.16
삼성증권,67.09
삼양식품,67.04
호텔신라,67.04
맨파워코리아,67.03
한국수자원공사,66.91
한국산업은행,66.88
엘에스일렉트릭,66.84
DB하이텍,66.83
한화시스템,66.78
대원제약,66.74
마이다스아이티,66.71
LF,66.69
LX하우시스,66.65
두산,66.65
잡코리아(유),66.65
신한카드,66.62
한국스탠다드차타드은행,66.62
에이치엠엠,66.56
한온시스템,66.56
쿠팡,66.31
한국토지주택공사,66.3
국민연금공단,66.07
동아쏘시오홀딩스,66.04
포스코홀딩스,66.04
에스케이쉴더스,65.94
에스케이실트론,65.94
삼성웰스토리,65.92
신세계인터내셔날,65.89
맥서브(Maxerve Co.,65.86
호텔롯데,65.83
엔에이치엔,65.74
대우건설,65.66
일동제약,65.61
DB손해보험,65.58
샘표,65.55
티웨이항공,65.49
현대글로비스,65.49
야놀자,65.36
도쿄일렉트론코리아,65.32
국민은행,65.27
농심,65.15
쿠쿠홀딩스,65.06
한국공항,65.01
씨게이트,64.87
신세계아이앤씨,64.8
중앙일보,64.8
NAVER I&S,64.76
아워홈,64.72
한국관광공사,64.7
포스코DX,64.68
한화생명보험,64.62
보령,64.58
에이치디현대인프라코어,64.55
에스원,64.52
NH농협은행,64.51
대상,64.46
롯데쇼핑,64.43
홈플러스,64.42
KB캐피탈,64.38
엘엑스세미콘,64.33
현대코퍼레이션,64.32
한화솔루션,64.31
네오위즈,64.27
트랜스코스모스,64.25
넷마블,64.23
교통안전공단,64.17
한국씨티은행,64.16
키스템프,64.14
하이투자증권,64.13
슈피겐코리아,64.09
티몬,64.05
이마트,63.95
하나증권,63.88
국방과학연구소,63.85
에이치디에스,63.74
지멘스,63.71
한미약품,63.63
신세계푸드,63.56
오비맥주,63.51
디에이치엘코리아,63.4
교보생명,63.36
SK가스,63.33
키움증권,63.31
해커스어학원,63.31
유니에스,63.29
한국환경공단,63.27
셀트리온제약,63.21
한미반도체,63.21
대교,63.2
신한투자증권,63.2
케이티씨에스,63.13
한국전자통신연구원,63.04
지에스건설,63.02
지마켓,62.94
한국농수산식품유통공사,62.91
문화방송,62.83
한세실업,62.8
한국과학기술연구원,62.77
동화기업,62.76
현대차증권,62.73
삼구아이앤씨,62.65
에스씨케이컴퍼니,62.62
다올투자증권,62.52
에스에프에이,62.52
아데코코리아,62.51
메디톡스,62.49
인터비즈시스템,62.45
아이엠뱅크,62.39
메가스터디교육,62.38
엘에스엠트론,62.37
아모텍,62.36
금호타이어,62.32
써모피셔사이언티픽코리아,62.32
데브시스터즈,62.26
에어부산,62.17
케이지모빌리티,62.17
대한적십자사,62.16
롯데이노베이트,62.13
엘지디스플레이,62.13
안랩,62.03
천재교육,62.02
티맥스소프트,61.95
애드민,61.93
아이아이컴바인드,61.86
구글코리아(유),61.83
D&O,61.74
유한회사 스태츠칩팩코리아,61.7
한국증권금융,61.67
위메이드,61.66
한국항공우주연구원,61.66
신라에이치엠,61.65
한국전기안전공사,61.65
신원,61.61
한화오션,61.61
교보문고,61.59
지니뮤직,61.53
동호에이치알,61.48
케이비국민카드,61.34
씨젠,61.33
지아이티,61.31
한국산업안전보건공단,61.29
위대한상상,61.26
공무원연금공단,61.21
팬오션,61.16
한진,61.15
씨제이씨지브이,61.13
현대씨앤알,61.1
에이치디현대미포,61.05
SK네트웍스,61.02
버킷플레이스,60.99
신성통상,60.96
국립암센터,60.92
유라코퍼레이션,60.83
엘엑스판토스,60.69
원익아이피에스,60.68
제이앤비컨설팅,60.68
신영증권,60.63
윌앤비전,60.6
한국정보통신,60.57
멀티캠퍼스,60.55
도로교통공단,60.47
한국생산기술연구원,60.34
데상트코리아,60.29
제우스,60.29
에이치디씨랩스,60.27
대동공업,60.17
한국방송공사,60.13
웅진씽크빅,60.11
새마을금고중앙회,60.06
인트로맨,60.01
서울대학교병원,60
밀리의서재,59.97
도루코,59.94
폴라리스쉬핑,59.9
바이엘코리아,59.87
엘에스증권(LS증권),59.83
한국가스기술공사,59.81
씨제이메조미디어,59.76
넥센타이어,59.73
대원미디어,59.73
이오테크닉스,59.73
삼성전자판매,59.71
스템코,59.7
고운세상코스메틱,59.69
제이티비씨,59.65
더블유컨셉코리아,59.63
아이스크림에듀,59.63
이스타항공,59.56
차이커뮤니케이션,59.54
에프알엘코리아,59.51
메타엠,59.5
덴티움,59.47
한국국제협력단,59.47
삼일회계법인,59.43
코스트코코리아,59.43
아스타아이비에스,59.4
한국교육방송공사,59.38
한글과컴퓨터,59.38
코오롱인더스트리,59.35
다날,59.34
SFA반도체,59.32
파인스태프,59.32
풀무원,59.31
콘티넨탈오토모티브일렉트로닉스,59.28
에드워드코리아,59.26
이디야,59.23
예스이십사,59.22
동진쎄미켐,59.21
삼성메디슨,59.2
엔에이치농협캐피탈,59.2
엠즈씨드,59.1
태웅로직스,59.1
드림어스컴퍼니,59.09
이스트소프트,59.09
파라다이스세가사미,59.04
대구텍(유),59.01
미디어로그,58.98
한화투자증권,58.96
케이티디에스,58.94
강원랜드,58.91
이랜드리테일,58.89
텔레칩스,58.89
피에스케이홀딩스,58.89
시몬스,58.81
바디프랜드,58.8
더핑크퐁컴퍼니,58.79
본아이에프,58.73
우리홈쇼핑,58.68
콘텐츠웨이브,58.67
더네이쳐홀딩스,58.66
에코마케팅,58.66
러쉬코리아,58.64
한샘개발,58.63
모트렉스,58.6
한국산업기술시험원,58.6
두잉씨앤에스,58.55
엔에이치엔위투,58.55
영진약품,58.54
휴넷,58.54
슈프리마에이치큐,58.53
영원무역,58.53
키스템프그룹,58.52
제니엘,58.49
제이티비씨스튜디오,58.49
하나머티리얼즈,58.48
한국에스지에스,58.45
대신증권,58.42
우리카드,58.36
메리츠화재해상보험,58.32
좋은책신사고,58.32
신한디에스,58.28
한국표준과학연구원,58.28
인라이플,58.25
매그나칩반도체,58.21
한화손해보험,58.21
대림,58.19
아성다이소,58.19
씨젠의료재단,58.12
농협정보시스템,58.1
나무가,58.03
퍼시스,58.03
엔에이치엔커머스,57.99
한전케이디엔,57.98
풀무원식품,57.97
파라다이스,57.96
조은시스템,57.95
아이패밀리에스씨,57.88
티케이지태광,57.88
엔이능률,57.85
캡스텍,57.79
KB손해보험 대구TC,57.78
하나금융티아이,57.77
해브앤비 유한회사,57.74
이마트24,57.71
캐논코리아,57.69
유진로봇,57.68
코오롱생명과학,57.68
커넥트웨이브,57.67
현대캐피탈,57.65
팅크웨어,57.63
한미글로벌건축사사무소,57.6
이투스교육,57.59
에프에스티,57.56
한양이엔지,57.51
컴퓨존,57.48
아이마켓코리아,57.42
코텍,57.4
한국교육과정평가원,57.34
샤넬코리아(유),57.32
장금상선,57.32
코오롱글로벌,57.29
하나카드,57.21
베네통코리아,57.2
피어,57.2
엔테크서비스,57.18
대한제강,57.16
현대파워텍,57.13
미래엔,57.08
한국기초과학지원연구원,57.07
대한제당,57.03
루트로닉,57.03
동아출판,56.93
커피빈코리아,56.93
이브릿지,56.92
이니스프리,56.9
스마일게이트홀딩스,56.85
인텔리안테크놀로지스,56.85
케이티엔지니어링,56.8
공항철도,56.79
헥토이노베이션,56.77
유신,56.76
신도리코,56.73
모나미,56.71
지지무역,56.66
아이스크림미디어,56.65
신세계디에프,56.59
공차코리아,56.57
케이지이니시스,56.56
파트론,56.46
경동나비엔,56.45
오티스엘리베이터,56.37
코레일유통,56.37
에이젝코리아,56.32
지에스아이티엠(GSITM),56.29
칸타코리아,56.29
태광산업,56.28
비엔케이투자증권,56.27
코엑스,56.27
미성엠프로,56.26
