company,similarity_score,company_score,rank_similarity,rank_company,rank_diff
오픈엣지테크놀로지,4.682946174113197,43.0,1.0,1136.0,1135.0
애자일소다,3.789803111097243,29.45,2.0,2117.0,2115.0
에프엘이에스,2.592788064463942,20.77,3.0,2468.0,2465.0
파이오링크,2.528814917640113,53.45,4.0,477.0,473.0
뷰런테크놀로지,2.2691316342225605,37.92,5.0,1528.0,1523.0
위드네트웍스,2.1061631023714713,37.69,6.0,1547.0,1541.0
에이아이세스,1.9755350684415982,30.34,7.0,2062.0,2055.0
와탭랩스,1.9433113970493787,47.51,8.0,816.0,808.0
펜타시큐리티,1.922709285715337,51.3,9.0,581.0,572.0
루미르,1.915257519325824,40.53,10.0,1319.0,1309.0
모빌린트,1.8912749232566488,38.96,11.0,1444.0,1433.0
슈프리마,1.8564980699740028,52.05,12.0,541.0,529.0
베스텔라랩,1.8484162368708728,39.55,13.0,1396.0,1383.0
포지큐브,1.8343753052981309,36.04,14.0,1671.0,1657.0
에스티씨랩,1.813170190460959,30.2,15.0,2073.0,2058.0
알세미,1.7909285520431337,35.83,16.0,1685.0,1669.0
업스테이지,1.5472176639985489,44.81,17.0,1008.0,991.0
씨이랩,1.42700527116524,41.54,18.0,1241.0,1223.0
에이티센스,1.3868212249009289,40.37,19.0,1330.0,1311.0
센시리온오토모티브솔루션즈코리아,1.3335152888739654,33.25,20.0,1871.0,1851.0
옵토전자,1.3147680493168752,29.57,21.0,2108.0,2087.0
알지티,1.3145612827507245,35.86,22.0,1682.0,1660.0
디어유,1.2648334076083827,54.84,23.0,406.0,383.0
신비앤텍,1.261572265408854,44.84,24.0,1005.0,981.0
미리비트,1.2471072414736346,31.9,25.0,1961.0,1936.0
페니로이스,1.2047822552276308,33.24,26.0,1872.0,1846.0
효돌,1.2018010046649898,30.9,27.0,2025.0,1998.0
알비에치,1.1979856641120479,31.48,28.0,1987.0,1959.0
마인즈앤컴퍼니,1.1965427752040552,23.39,29.0,2382.0,2353.0
알티올,1.1431760925958776,34.8,30.0,1762.0,1732.0
쿤텍,1.1408704970883736,35.46,31.0,1714.0,1683.0
토모큐브,1.1303519824086905,38.63,32.0,1467.0,1435.0
씨메스,1.0696225469961473,30.92,33.0,2023.0,1990.0
이파피루스,1.0446005464606796,43.8,34.0,1080.0,1046.0
아이디벨,0.9797340015110073,30.01,35.0,2085.0,2050.0
플래티어,0.9558017583901666,53.0,36.0,498.0,462.0
칩스앤미디어,0.9095401900198229,49.83,37.0,666.0,629.0
아론티어,0.8590399613420093,31.58,38.0,1981.0,1943.0
넛지헬스케어,0.858616516001742,51.5,39.0,569.0,530.0
크레스콤,0.8310161148686682,21.82,40.0,2430.0,2390.0
바비톡,0.8200160437242839,41.82,41.0,1221.0,1180.0
엑스페릭스,0.8181549755070412,40.59,42.0,1316.0,1274.0
한맥아이피에스,0.8155929019600039,30.14,43.0,2076.0,2033.0
넥서스커뮤니티,0.8064516205804285,44.97,44.0,998.0,954.0
퍼플아카데미,0.8038082752381359,45.71,45.0,942.0,897.0
데이터누리,0.8031881701517538,30.43,46.0,2057.0,2011.0
인피닉,0.8031881701517538,14.24,46.0,2594.0,2548.0
에이트테크,0.8031881701517538,34.42,46.0,1794.0,1748.0
